Total items in nomenclatures_v2: 458

[1] ID: 897b7717-aed4-4ce1-bbbe-445dd2d7815f | code: V2-90001 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 1000*600 3мм'
[2] ID: 2bd9bfb5-1f31-489b-9ef1-a66498ebe067 | code: V2-90002 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 10мм'
[3] ID: dc9dc2d3-8023-420a-bf62-f76d1edce082 | code: V2-90003 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 11мм'
[4] ID: b7301470-7c10-447f-bd12-c905b6b986c3 | code: V2-90004 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 12мм'
[5] ID: 998b5276-92b2-4c7e-b056-5aa952b015b1 | code: V2-90005 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 1мм'
[6] ID: 56609a03-d0f2-40e6-974a-05decd214fd5 | code: V2-90006 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 2,5мм'
[7] ID: 47990a56-89bf-4604-abe0-0c565449d595 | code: V2-90007 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 2мм'
[8] ID: 2bfbce70-1ce9-4fe3-9e03-9291c432990c | code: V2-90008 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 2мм (преференція)'
[9] ID: 58391353-18a3-4baf-b205-92eae6cd70a1 | code: V2-90009 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 3мм'
[10] ID: 0f91e64d-c7be-4801-8d27-bf4b48d95d00 | code: V2-90010 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 3мм (преференція)'
[11] ID: a6e9b45d-2f25-44d5-9389-a4bcb43b17bf | code: V2-90011 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 4мм'
[12] ID: 81a41f95-35a9-4cd7-85a2-203575779604 | code: V2-90012 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 5мм'
[13] ID: b9d3b665-95f3-41ea-9940-de68390d925d | code: V2-90013 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 5мм (0/45/90)'
[14] ID: 962e1867-44ae-4056-9e8b-7f79fcaad2ff | code: V2-90014 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 6мм'
[15] ID: daf05d08-aed2-43b3-ba6b-2434e3e953a9 | code: V2-90015 | group_id: 'grp_carbon_t300' | rule_type: 'carbon' | name: 'Карбонова пластина Т300 500*600 6мм (преференція)'
