,Номенклатура,,,Склад
   SF-000003,"Київ К, ІП14, Р7-П-6-78","ІП14, Ракета 7, Промінь, Київ К, 6мм, 78шт",шт,65852
SF-000001,"Київ К, ІП14, Р7-В-3-63","ІП14, Ракета 7, Верхня пластина, Київ К, 3мм, 63шт",шт,22465
SF-000002,"Київ К, ІП14, Р7-Н-3-53","ІП14, Ракета 7, Нижня пластина, Київ К, 3мм, 53шт",шт,19232
SF-000021,Київ К-ІП10-11-П-7-44,"Промінь ІП10, 11inch, Київ К, 7мм, 44шт",шт,2824
    SF-000020,Київ К-ІП-32-9-П-7-51,"Промінь ІП32, 9inch, Київ К, 7мм, 51шт",шт,1200
    SF-000019,Київ К-ІП9/10/31/36/37-9-10-11-Х-3-39,"Хрестик ІП9/10/31/36/37, 9-10-11inch, Київ К, 3мм, 39шт",шт,2000
   SF-000017,Київ К-ІП9/10/31/36/37-9-10-11-В-3-30,"Верхня пластина ІП9/10/31/36/37, 9-10-11inch, Київ К, 3мм, 30шт",шт,2000
   SF-000018,Київ К-ІП9/10/31/36/37-9-10-11-Н-3-14,"Нижня пластина ІП9/10/31/36/37, 9-10-11inch, Київ К, 3мм, 14шт",шт,2000
SF-000007,F610-ІП24-П-7-35,"Промінь, F610 7мм, 35шт.",шт,7200
   SF-000006,КН-Hx10-F610-Х-2-12,"Хрестик (пластина) Hexo-10, F610, 2мм, 12шт",шт,93
   SF-000005,F610-ІП24-Н-3-14,"Нижня пластина, F610' 3мм, 14шт",шт,500
   SF-000004,F610-ІП24-В-3-14,"Верхня пластина, F610' 3мм, 14шт",шт,841
SF-000008,KR-210-415-В-3-28,"Верхня пластина, KR 415/385/355/325/295/265/235/210 3мм, 28шт",шт,1000
SF-000009,KR-10(210)-Н-3-18,"Нижня пластина KR 10inch(210) 3мм,18шт",шт,229
SF-000010,KH-10(210)-П-7-62,"Промінь KH10inch(210) 7мм, 62шт",шт,790
SF-000011,KH-10(210)-Х-4-112,"Хрестик KH10inch(210) 4мм, 112шт",шт,
SF-000041,KR-325-Хв-5-54,"Хрестик верх,KR-325, 5мм, 54шт",шт,
SF-000042,KR-325-Хн-5-54,"Хрестик низ,KR-325, 5мм, 54шт",шт,
SF-000022,KR-235-415-Н-3-24,"Нижня пластина KR 415/385/355/325/295/265/235 3мм, 24шт",шт,
SF-000043,KR-325-К-4-6,"Кришка, KR-325, 4мм, 6шт",шт,100
SF-000044,"Промінь, KR-325, 10мм, 31шт","Промінь, KR-325, 10мм, 31шт",шт,
SF-000027,KF-Пластинка-3-162,"Пластинка, KF, KHARAK-Київ К, 3мм, 162шт",шт,
SF-000045,KR-F-line-Підкладка-10-238,"Підкладка, KR-F-line 10мм, 238шт",шт,
SF-000095,KR-10(210)-V2-Н-3-18,"Нижня пластина KR 10inch(210)-V2 3мм,18шт",шт,
SF-000096,KH-10(210)-V2-П-7-60,"Промінь KH10inch(210) 7мм, 60шт",шт,
SF-000094,KR-10(210)-V2-В-3-28,"Верхня пластина KR 10inch(210)-V2 3мм,28шт",шт,
SF-000013,БІТА10-ІП21-В-2-26,"Верхня Пластина, ІП21, 10inch, БІТА, 2мм, 26шт",шт,92
SF-000016,"Промінь, ІП21, 10inch, БІТА, 6мм, 44шт","Промінь, ІП21, 10inch, БІТА, 6мм, 44шт",шт,
SF-000101,KR-AIR-10- V2.0-Промінь-10-6-76,"Промінь, KR AIR, V2.0, 6мм, 76шт",шт,
SF-000099,KR-AIR-10- V2.0-Н-3-24,"Нижня пластина, KR AIR 10, V2.0, 3мм, 24шт",шт,
SF-000076,KR-9-П-6-92,"Промінь KR-9, 6мм, 92 шт.",шт,
SF-000103,Київ К-RND-34-Лп-2-21,"Ліва пластина, RND 34, Київ, 2мм, 21шт",шт,
SF-000104,Київ К-RND-34-Пп-2-21,"Права пластина, RND 34, Київ, 2мм, 21шт",шт,
FG-000002,FPV-610,F610,шт,
FG-000024,KHARAK 325(розширена кришка),KHARAK 325(розширена кришка),шт,100
FG-000005,FPV-9X,F9X,шт,
SF-000015,БІТА-10-ІП21-Х-3-27,"Хрестик, ІП21, 10inch, БІТА, 3мм, 27шт",шт,
SF-000109,RND-62-68-Н-3-12,"Нижня пластина, RND 62-68, B13A1, ОШБр59, 3мм, 12шт",шт,
SF-000111,RND-72-В-3-8,"Верхня пластина, RND 72, Крук 15"", ОШБр59, 3мм, 8шт",шт,
SF-000113,RND-72-Х-4-20,"Хрестик, RND 72, Крук 15"", ОШБр59, 4мм, 20шт",шт,
SF-000114,RND-72-Промінь-10-17,"Промінь, RND 72, Крук 15"", ОШБр59, 10мм, 17шт",шт,
SF-000100,KR-AIR-10- V2.0-Х-2-45,"Хрестик, KR AIR 10, V2.0, 2мм, 45шт",шт,
SF-000116,KR-7-П-6-106,"Промінь KR-7, 6мм, 106 шт.",шт,
SF-000107,RND-62-68-Х-2-35,"Хрестик, RND 62-68, B13A1, ОШБр59, 2мм, 35шт",шт,
SF-000098,KR-AIR-10- V2.0-В-2-33,"Верхня пластина, KR AIR 10, V2.0, 2мм, 33шт",шт,
SF-000108,RND-68-П-8-25,"Промінь, RND 68, B13A1, ОШБр59, 8мм, 25шт",шт,
SF-000110,RND-68-П-2-41,"Перемичка, RND 68, B13A1, ОШБр59, 2мм, 41шт",шт,
SF-000106,RND-62-68-В-3-10,"Верхня пластина, RND 62-68, B13A1, ОШБр59, 3мм, 10шт",шт,
SF-000014,БІТА-10-ІП21-Н-3-16,"Нижня пластина, ІП21, 10inch, БІТА,  3мм, 16шт",шт,53
SF-000112,RND-72-Н-4-8,"Нижня пластина, RND 72, Крук 15"", ОШБр59, 4мм, 8шт",шт,
SF-000115,RND-72-Перемичка-3-40,"Перемичка, RND 72, Крук 15"", ОШБр59, 3мм, 40шт",шт,
FG-000029,RND-72,RND-72,шт,
FG-000006,FPV-11,F11,шт,
FG-000004,БІТА10,БІТА10,шт,
FG-000028,RND-68,RND-68,шт,
SF-000121,RND-27-Phantom-Нп-5-3-93,"Нижня пластина 5 RND 27, Phantom, 2мм 93шт",шт,
SF-000117,RND-27-Phantom-Бп-1-2-72,"Бокова пластина 1 RND 27, Phantom, 2мм 72шт",шт,
SF-000069,KR-265-V Д-тех-П-8-43,"Промінь, KR-265 V Д-тех, 8мм, 43шт",шт,
SF-000067,KR-265-V Д-тех-Хн-4-75,"Хрестик низ,KR-265 V Д-тех, 4мм, 75шт",шт,
SF-000134,Літак-ІП42-13-Н2-10мм-10шт,"Нервюра 2, ІП42-13, Капітан-Немо, 10мм,  10шт",шт,
SF-000135,Літак-ІП42-14-Н3-4мм-12шт,"Нервюра 3, ІП42-14, Капітан-Немо, 4мм, 12шт",шт,
SF-000142,F613-ІП47-П-10-22,"Промінь, F613 10мм, 22шт.",шт,
SF-000066,KR-265-V Д-тех-Хв-4-75,"Хрестик верх,KR-265 V Д-тех, 4мм, 75шт",шт,
SF-000145,ІП66-ЦДБС-Верх-2-30,"Верхня пластина, ІП66, ЦДБС, 2мм, 30шт",шт,
SF-000151,RND-78-F5-В-3-45,"Верхня пластина, F5 V2, RND 78, Київ К, 3мм, 45шт",шт,550
SF-000150,ІП66-ЦДБС-Промені-10-66,"Промінь, ІП66, ЦДБС, 10мм, 66шт",шт,
SF-000147,ІП66-ЦДБС-Низ-2-49,"Нижня пластина, ІП66, ЦДБС, 2мм, 49шт",шт,
SF-000091,RND-66-F5-Н-3-50,"Нижня пластина, F5, RND 66,Київ К, 3мм, 50шт",шт,
SF-000092,RND-66-F5-Х-3-63,"Хрестик, F5, RND 66, Київ К, 3мм, 63шт",шт,
SF-000152,RND-78-F5-П-5-148,"Промені, F5 V2, RND 78, Київ К, 5мм, 148шт",шт,90
SF-000077,KR-7-8-9-Х-3-138,"Хрестик KR-7-9, 3мм, 138 шт.",шт,
SF-000075,KR-7-8-9-Н-3-32,"Нижня пластина , KR-7-9, 3мм, 32 шт.",шт,
SF-000074,KR-7-8-9-В-2-33,"Верхня пластина , KR-7-9, 2 мм, 33 шт.",шт,
SF-000012,KH-10(210)-Пласт-3-162,"Пластинка KH10inch210 3мм, 162шт",шт,
SF-000068,KR-265-К-3-9,"Кришка, KR-265, 3мм, 9шт",шт,
SF-000158,KR-8-П-6-96,"Промінь KR-8, 6мм, 96 шт.",шт,
SF-000146,ІП66-ЦДБС-Середина-2-56,"Середня пластина, ІП66, ЦДБС, 2мм, 56шт",шт,
SF-000148,ІП66-ЦДБС-Поперечна-2-60,"Поперечна, ІП66, ЦДБС, 2мм, 60шт",шт,
SF-000154,F421-ІП28-Хверх-5-31,"Хрестик верх, F421, 5мм, 35шт.",шт,
SF-000062,F418-retrik-ІП59-П-10-27,"Промені П3, F418-retric 10мм 27шт",шт,
SF-000160,F415-ІП27-Хверх-4-74,"Хрестик верх, ІП27, F415, 4мм, 74шт.",шт,
SF-000064,F418-retrik-ІП59-Хв-5-40,Хрестик верх П3 F418-retric 5мм 40шт,шт,
SF-000159,F415-ІП27-К-3-9,"Кршка, ІП27 F415, 3мм 9шт.",шт,
SF-000157,F421-ІП28-П-10-25,"Промінь, F421 10мм, 25шт.",шт,
SF-000059,F415-421-ІП27-Н-3-26,"Нижня пластина, ІП27, F415-F421, 3мм, 26шт.",шт,
SF-000161,F415-ІП27-Хниз-4-74,"Хрестик низ, ІП27, F415, 4мм, 74шт.",шт,
SF-000153,F421-ІП28-К-3-5,"Кришка, F421, 3мм, 5шт.",шт,
SF-000165,F418-ІП22-К-3-6,"Кришка, ІП22, F418, Київ К, 3мм, 6шт",шт,
SF-000063,F418-retrik-ІП59-Х-5-40,"Хрестик П3 F418-retric , F418 5мм 40шт",шт,
SF-000163,F415-ІП27-П-10-38,"Промінь, F415, 10мм, 38шт.",шт,
SF-000167,Влучник-ІП35-Ракета-8-Каркас-6-2,"Каркас, ІП35, Ракета-8'', Влучник, 6мм 2шт.",шт,
SF-000171,RND-59-Промінь-10-25,"Промінь, Рама 15'', RND 59, 10мм, 25шт",шт,
SF-000058,F415-421-ІП27-В-3-26,"Верхня пластина, ІП27, F415-F421, 3мм, 26шт.",шт,
SF-000172,RND-77-Основа-V3-8-1,"Основа, RND 77, Ракета V3, Konstantun Andreev, 8мм, 1шт.",шт,
SF-000170,RND-59-Хрестик-3-13,"Хрестик, Рама 15'', RND 59, 3мм, 13шт",шт,
SF-000155,F421-ІП28-Хниз-5-31,"Хрестик низ, F421, 5мм, 35шт",шт,
SF-000033,KR-265-Хв-4-75,"Хрестик верх,KR-265, 4мм, 75шт",шт,
SF-000035,KR-265-К-3-9,"Кришка, KR-265, 3мм, 9шт",шт,
SF-000036,KR-265-П-8-43,"Промінь, KR-265, 8мм, 43шт",шт,
SF-000034,KR-265-Хн-4-75,"Хрестик низ,KR-265, 4мм, 75шт",шт,
SF-000173,RND-75-Т-Рекс-Промінь-7-44,"Промінь, RND-75, Т-Рекс, 7мм, 44шт",шт,
SF-000174,RND-80-Ракета-8-inch-7-2,"Основа, RND 80, Ракета 8inch, 7мм, 2шт.",шт,
SF-000179,KR-10(225)-В-3-20,"Верхня пластина KH10inch(225), 3мм, 20шт",шт,
SF-000175,RND-81-Пз-2-42,"Планка Передн, задня, Захист KR-210(225) 2мм, 42шт",шт,
SF-000169,RND-59-Низ-4-5,"Нижня пластина, Рама 15'', RND 59, 4мм, 5шт",шт,
