Станок 1200x800,,,,,"Фреза, D","К-сть фрез, шт",Орієнтовний час розкрою
Київ К-ІП9-10-31-36-37-9-10-11-Х-3-39,,,,,,,
Операція (1 сторона),"Операція (2 сторона) 
Ф2мм","Операція (2 сторона) 
Ф1.5мм",Операція (2 сторона вирізка) Ф2мм,Операція (2 сторона вирізка) Ф1.5мм,ф2,2,
,уп1 ф3 отвори для кріплення,,уп1 ф3 отвори 4.4мм 1,уп1 ф3 отвори 4.4мм 1,ф3,2,
,уп1.1 ф3 потай М3 D5.3мм h0.6мм корекція 1,,уп1 ф3 отвори 4.4мм 2,уп1 ф3 отвори 4.4мм 2,ф6 (90),1,
,уп1.2 ф3 потай М3 D5.3мм h1.2мм 1,,уп1.1 ф3 отвори 4.4 ПРОГОНКА,уп1.1 ф3 отвори 4.4 ПРОГОНКА,ЧОРНА ПРЕС-ГАЙКА,,
,уп1.3 ф3 потай М3 D5.3мм h0.6мм корекція 2,,уп1.2 ф3 лінії,уп1.2 ф3 лінії,,,
,уп1.4 ф3 потай М3 D5.3мм h1.2мм 2,,уп2.1 ф2 контур + обтинання 1,уп1.3 ф1.5 контур + обтинання 1,,,
,,,уп2.1 ф2 контур + обтинання 2,уп1.3 ф1.5 контур + обтинання 2,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,
,,,,,,,
,,,,,,,
Станок Фея,,,,,"Фреза, D","К-сть фрез, шт",Орієнтовний час розкрою
Київ К-ІП9-10-31-36-37-9-10-11-Х-3-39,,,,,,,
Операція (1 сторона),"Операція (2 сторона) 
Ф2мм","Операція (2 сторона) 
Ф1.5мм",Операція (2 сторона вирізка) Ф2мм,Операція (2 сторона вирізка) Ф1.5мм,ф2,2,
,№1 ф3 отвори для кріплення,,,,ф3,2,
,№2 ф3 потай корекція h0.6мм 1 (припуск -0.075),,,,ф6 (90),1,
,№3 ф3 потай M3 Black_D5.3мм h1.2мм 1 (припуск -0.075),,,,ЧОРНА ПРЕС-ГАЙКА,,
,№4 ф2 отвори 4.4мм,,,,,,
,№5 ф2 лінії 3мм,,,,,,
,№6 ф2 отвори 4.4мм + лінії ПРОГОНКА,,,,,,
,№7 ф2 контур + обтинання 1,,,,,,
,ПРИПУСКИ,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,
