Станок 1200x800,,,"Фреза, D","К-сть фрез, шт",Орієнтовний час розкрою
F613-ІП47-П-10-22,,,,,
Операція (1 сторона),Операція (2 сторона),Операція (2 сторона вирізка),ф2,2,
уп1 ф3 отвори для кріплення,уп1 ф3 контроль перегортання,,ф3,2,
уп1.1 ф3 отвори для контролю фаски,уп1.1 ф3 отвори + двигуни,,ф6 (90),2,
уп2 ф6 контроль фаски 1,уп2 ф6 контроль фаски 1,,,,
уп2 ф6 контроль фаски 2,уп2 ф6 контроль фаски 2,,,,
уп2.1 ф6 обкатка отворів,уп2.1 ф6 обкатка отворів,,,,
уп2.2 ф6 обкатка контура,уп2.2 ф6 обкатка контура,,,,
,уп3 ф2 контур + обтинання 1,,,,
,уп3 ф2 контур + обтинання 2,,,,
,,,,,
,,,,,
Станок ФЕЯ,,,"Фреза, D","К-сть фрез, шт",Орієнтовний час розкрою
F613-ІП47-П-10-22,,,,,
Операція (1 сторона),Операція (2 сторона),Операція (2 сторона вирізка),ф2,8,
,№1 - ф3 отвори для кріплення листа,,ф3,1,
,№2 - ф2 отвори 3мм,,,,
,№3 - ф2 двигуни 4 + двигун 1,,,,
,№4 - ф2 отвори 3мм + двигуни ПРОГОНКА,,,,
,№5 - ф2 контур + обтинання,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Станок ДРАКОН,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Станок 3050(16)х16,,,"Фреза, D","К-сть фрез, шт",Орієнтовний час розкрою
F613-IP47-P-10-22 (1 shpyndel 6 lystiv),,,,,
Операція (1 сторона),Операція (2 сторона),Операція (2 сторона вирізка),ф2,6,
,up1 f3 otvory dlia kriplennia,,ф3,3,
,up1.1 f3 otvory,,,,
,up1.2 f3 dvyhuny,,,,
,up3 f2 kontur + obtynannia 1,,,,
,up3 f2 kontur + obtynannia 2,,,,
,up3 f2 kontur + obtynannia 3,,,,
,up3 f2 kontur + obtynannia 4,,,,
,up3 f2 kontur + obtynannia 5,,,,
,up3 f2 kontur + obtynannia 6,,,,
F613-ІП47-П-10-22 (3 shpyndeli 6 lystiv),,,"Фреза, D","К-сть фрез, шт",Орієнтовний час розкрою
Операція (1 сторона),Операція (2 сторона),Операція (2 сторона вирізка),,,
,уп1 ф3 отвори для кріплення,,ф2,6,
,уп1.1 ф3 отвори,,ф3,3,
,уп1.2 ф3 двигуни,,,,
,уп3 ф2 контур + обтинання 1,,,,
,уп3 ф2 контур + обтинання 2,,,,
