"Специфікація ""Рама (ін проект 72), F5, Київ К""",,,,,,,
,Номенклатура,Характеристика,Опис,Кі-ть на од.,Опціон,Колір,Доп. інфо
1,ІП-72-F5-В-3-45,,"Верхня пластина, F5, ІП 72, Київ К, 3мм, 45шт",1,,,
2,ІП-72-F5-Н-3-50,,"Нижня пластина, F5, ІП 72 ,Київ К, 3мм, 50шт",1,,,
3,ІП-72-F5-Х-5-63,,"Хрестик, F5, ІП 72, Київ К, 2мм, 63шт",1,,,
4,ІП-72-F5-П-5-147,,"Промені, F5, ІП 72, Київ К, 5мм, 147шт",4,,,
Метизи,,,,,,,
№,Номенклатура,Характеристика,Опис,Кі-ть на од.,Опціон,Колір,Доп. інфо
5,Гвинт ,"BH М3*8  
",M3×8 ISO 7380‑1 (BH) 10.9,14,,Чорний,
6,"Гвинт
","BH М3*12 
",M3×12 ISO 7380‑1 (BH) 10.9,2,,Чорний,
7,Гайка,гайка М3 , Гайка DIN 934,2,,Чорна,
8,Гвинт,CH|SH М3*30,M3×30 ISO 4762 (SH) 10.9 | M3×30 DIN 84 (CH) 10.9 ,4,,Чорний,
9,Гвинт,CH|SH М3*14,M3×14 ISO 4762 (SH) 10.9 | M3×14 DIN 84 (CH) 10.9 ,4,,Чорний,
10,Гвинт,CH|SH М3*12,M3×12 ISO 4762 (SH) 10.9 | M3×12 DIN 84 (CH) 10.9 ,4,,Чорний,
11,Гвинт ,CH|SH М3*8,M3×8 ISO 4762 (SH) 10.9 | M3×8 DIN 84 (CH) 10.9 ,2,,Чорний,
12,Гвинт ,FH М3*6 ,M3×6 ISO 10642 / DIN 7991 (FH) 10.9,4,,Чорний,
13,Гвинт ,FH М3*8,M3×8 ISO 10642 / DIN 7991 (FH) 10.9,8,,Чорний,
14,Гвинт ,BH М3*6 ,M3×6 ISO 7380‑1 (BH) 10.9,4,,Чорний,
15,Гвинт ,BH М2*4 ,M2×4 ISO 7380‑1 (BH)  8.8,4,,Чорний,
16,Гвинт ,BH М2*7,M2×7 ISO 7380‑1 (BH) 10.9,2,,Чорний,
17,Гайка,"М3, нейлонова", М3 Нейлон DIN 934,4,,Чорна,
18,Прес гайка,"М3, вуглецева сталь",М3 вуглецева сталь,14,,Чорна,
Стійки,,,,,,,
№,Номенклатура,Характеристика,Опис,Кі-ть на од.,Опціон,Колір,Доп. інфо
19,Стійка 25 мм,М3*25мм,Алюміній,4,,Чорна,
20,Стійка 32 мм,М3*32мм,Алюміній,2,,Чорна,
Накладки під АКБ,,,,,,,
№,Номенклатура,Характеристика,Опис,Кі-ть на од.,Опціон,Колір,Доп. інфо
21,Накладка під АКБ F5,Гума ,"Гума Еластична листова (40 мм × 9 мм × 4 мм), к-сть",4,,Чорна,
Тримач кабелю,,,,,,,
№,Номенклатура,Характеристика,Опис,Кі-ть на од.,Опціон,Колір,Доп. інфо
22,Тримач кабелю 10x45,Пластик,,4,,,
