Номенклатура,Діаметр ріжучої частини,Наявність на 30.12.2025,Залишок на складі,
"Фреза двопера 3,175х3,175х42х65","3,175",10,10,
"Фреза двопера 3,175х3,175х52х75","3,175",4,4,
Фреза двопера 3х4х6х50,3,84,84,
"Фреза кукурудза 0,5х3,175х4х38","0,5",4,0,
"Фреза кукурудза 0,8х3,175х5х38","0,8",76,66,
"Фреза кукурудза 0,9х3,175х5х38","0,9",20,20,
"Фреза кукурудза 1,5х3,175х6х50","1,5",1348,1348,
"Фреза кукурудза 1,5х3,175х8,5х38","1,5",5960,710,
"Фреза кукурудза 1,5х3,175х8х38","1,5",190,190,
"Фреза кукурудза 1,5х3,175х9х38","1,5",870,870,
"Фреза кукурудза 1,5х3,175х9х38","1,5",2500,2400,
"Фреза кукурудза 1,5х3,175х9х50","1,5",1109,1100,
"Фреза кукурудза 1,5х4х9х50","1,5",1100,1100,
"Фреза кукурудза 2,5х3,175х10х38","2,5",260,260,
"Фреза кукурудза 2х3,175х10,5х38",2,430,25500,
"Фреза кукурудза 2х3,175х10х38",2,,0,
"Фреза кукурудза 2х3,175х12х38",2,3200,0,
"Фреза кукурудза 2х3,175х16х50",2,2500,2390,
"Фреза кукурудза 2х3,175х5х38",2,,0,
"Фреза кукурудза 2х3,175х6х38",2,10,10,
"Фреза кукурудза 2х3,175х8х38",2,,0,
"Фреза кукурудза 2х3,175х9,5х38",2,,50,
"Фреза кукурудза 2х3,175х9х38",2,4900,285,
Фреза кукурудза 2х4х12х50,2,,0,
Фреза кукурудза 2х4х16х50,2,2784,2764,
"Фреза кукурудза 3,175х3,175х17х38","3,175",90,60,
"Фреза кукурудза 3,175х3,175х25х50","3,175",0,0,
"Фреза кукурудза 3х3,175х12х38",3,10331,3771,
"Фреза кукурудза 3х3,175х16х50",3,3360,3329,
"Фреза кукурудза 3х3,175х9х38",3,6650,0,
"Фреза кукурудза 3х3,175х9х45",3,2700,2700,
"Фреза кукурудза 3х3,175х9х50",3,,0,
Фреза кукурудза 3х4х16х50,3,2822,2770,
"Фреза кукурудза 4х3,175х12х38",4,,0,
Фреза кукурудза 4х4х12х38,4,2000,1950,
Фреза кукурудза 4х4х12х45,4,10,10,
Фреза кукурудза 4х4х12х50,4,1251,1091,
Фреза кукурудза 4х4х17х45,4,1500,1500,
Фреза фасочна 6х38х120°,6,250,250,
Фреза фасочна 6х38х90°,6,699,699,
Фреза фасочна 6х50х120°,6,300,300,
Фреза фасочна 6х50х60°,6,16,15,
Фреза фасочна 6х50х90°,6,494,460,
Фреза фасочна 6х50х90°,6,811,568,
Фреза фасочна 6х50х90°,6,340,240,
"Фреза чотирьохпера 1,5х4х4х50","1,5",245,245,
Фреза чотирьохпера 2х4х12х50,2,1200,1190,
Фреза чотирьохпера 2х4х5х50,2,240,240,
Фреза чотирьохпера 2х4х6х50,2,3164,3160,
Фреза чотирьохпера 3х3х12х75,3,2839,2716,
Фреза чотирьохпера 3х3х12х75,3,,0,
Фреза чотирьохпера 3х4х6х50,3,22,22,
Фреза чотирьохпера 3х4х8х50,3,2578,2578,
Фреза чотирьохпера 4х4х10х50,4,90,90,
Фреза чотирьохпера 4х4х11х50,4,548,528,
Фреза чотирьохпера 4х4х12х50,4,978,968,
Фреза чотирьохпера 4х4х15х75,4,31,31,
Фреза чотирьохпера 4х4х16х75,4,976,976,
Фреза чотирьохпера 4х4х9х50,4,,0,
Фреза чотирьохпера 6х6х25х75,6,9,9,
"Цанга ER-32 3,175 мм",,31,18,
Цанга ER-32 4 мм,,71,71,
Цанга ER-32 6 мм,,19,16,
"Цанга ER-20 3,175 мм",,57,-10,
Цанга ER-20 4мм,,227,215,
Цанга ER-20 6 мм,,7,0,
Цанга ER-20 8 мм,,4,4,-
"Цанга 263504 3,175 мм",,1112,996,
Цанга 263504 4 мм,,40,38,
Цанга 263504 6 мм,,40,40,
Цанга TL-60 4 мм,,140,140,
Цанга TL-60 6 мм,,110,110,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
